station_code,station_lat,station_lon,input_source,query_radius_km,api_version,vs30_mps,vs30_valid,vs30_source,vs30_mesh_code,vs30_jcode,vs30_query_distance_km,arv,status,error,api_url
IWTH24,39.1979,141.0118,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,332.0,1,j-shis_meshsearch_avs,5841603042,3,,1.17,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=141.01180000%2C39.19790000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
IWTH26,38.969,141.0013,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,493.2,1,j-shis_meshsearch_avs,5841306013,8,,0.84,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=141.00130000%2C38.96900000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
IWTH27,39.0307,141.532,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,775.5,1,j-shis_meshsearch_avs,5841443241,1,,0.57,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=141.53200000%2C39.03070000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
IWTH28,39.0094,140.864,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,400.3,1,j-shis_meshsearch_avs,5840461911,2,,1.00,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=140.86400000%2C39.00940000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS001,32.1947,130.1763,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,510.4,1,j-shis_meshsearch_avs,4830213413,4,,0.81,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.17630000%2C32.19470000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS002,32.0916,130.3519,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,283.3,1,j-shis_meshsearch_avs,4830120833,11,,1.34,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.35190000%2C32.09160000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS003,32.0559,130.5874,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,405.6,1,j-shis_meshsearch_avs,4830046642,6,,0.99,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.58740000%2C32.05590000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS004,32.0145,130.1927,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,207.5,1,j-shis_meshsearch_avs,4830011532,15,,1.75,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.19270000%2C32.01450000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS005,31.9006,130.4513,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,405.6,1,j-shis_meshsearch_avs,4730638611,6,,0.99,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.45130000%2C31.90060000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
KGS006,31.906,130.7021,/home/zhangb/work/people/zhangbei/team_claude/team_pytorch/station_cache_d9a7d4d6.csv,1.0,V4,312.4,1,j-shis_meshsearch_avs,4730658631,10,,1.23,Success,,https://www.j-shis.bosai.go.jp/map/api/meshsearch?center=130.70210000%2C31.90600000&epsg=4326&format=geojson&filter=AVS_gt_0&radius=1.000&limit=1&order=DIST&version=V4
