event_id,origin_time_jst_raw,origin_timestamp_raw,training_latitude,training_longitude,training_depth_km,training_magnitude,candidate_count,match_status,accepted,origin_time_jst_corrected,origin_timestamp_corrected,origin_time_correction_s,jma_event_id,jma_origin_time_jst,jma_origin_timestamp,jma_latitude,jma_longitude,jma_depth_km,jma_magnitude,jma_region,jma_source_url,jma_source_date,time_diff_s,abs_time_diff_s,horizontal_distance_km,depth_diff_km,magnitude_diff,match_score,second_match_score,score_margin,second_jma_event_id,second_jma_origin_time_jst,second_time_diff_s,second_horizontal_distance_km,second_depth_diff_km,second_magnitude_diff
20240101170400,2024-01-01T17:04:00+09:00,1704096240.0,37.37,136.982,14.0,3.8,2,matched,1,2024-01-01T17:04:29.500+09:00,1704096269.5,29.5,20240101170429500,2024-01-01T17:04:29.500+09:00,1704096269.5,37.346666666666664,136.98166666666665,12.0,3.8,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,29.5,29.5,2.5947155509164492,2.0,0.0,1.702276443516623,7.224132874899918,5.521856431383295,20240101170418900,2024-01-01T17:04:18.900+09:00,18.90000009536743,16.97066435860502,12.0,0.5999999999999996
20240101170600,2024-01-01T17:06:00+09:00,1704096360.0,37.37,136.963,6.0,3.8,1,matched,1,2024-01-01T17:06:14.300+09:00,1704096374.3,14.299999952316284,20240101170614300,2024-01-01T17:06:14.300+09:00,1704096374.3,37.38166666666667,136.95333333333335,8.0,3.8,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,14.299999952316284,14.299999952316284,1.5532360129824,2.0,0.0,0.9873138676736894,,inf,,,,,,
20240101170700,2024-01-01T17:07:00+09:00,1704096420.0,37.11,136.61,0.0,5.3,1,matched,1,2024-01-01T17:07:09.900+09:00,1704096429.9,9.900000095367432,20240101170709900,2024-01-01T17:07:09.900+09:00,1704096429.9,37.11,136.61,0.0,5.3,能登半島沖,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,9.900000095367432,9.900000095367432,0.0,0.0,0.0,0.33000000317891437,,inf,,,,,,
20240101171000,2024-01-01T17:10:00+09:00,1704096600.0,37.395,137.102,11.0,4.0,1,matched,1,2024-01-01T17:10:16.700+09:00,1704096616.7,16.700000047683716,20240101171016700,2024-01-01T17:10:16.700+09:00,1704096616.7,37.395,137.10833333333332,11.0,4.1,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,16.700000047683716,16.700000047683716,0.5594915359062154,0.0,0.09999999999999964,1.001898308770699,,inf,,,,,,
20240101171100,2024-01-01T17:11:00+09:00,1704096660.0,37.845,137.732,11.0,3.9,4,matched,1,2024-01-01T17:11:34.200+09:00,1704096694.2,34.200000047683716,20240101171134200,2024-01-01T17:11:34.200+09:00,1704096694.2,37.86666666666667,137.73166666666665,18.0,4.1,佐渡付近,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,34.200000047683716,34.200000047683716,2.409401145125425,7.0,0.19999999999999973,2.988546897281208,3.4913076582419675,0.5027607609607596,20240101171026100,2024-01-01T17:10:26.100+09:00,-33.90000009536743,4.306538275315268,5.0,0.2999999999999998
20240101171300,2024-01-01T17:13:00+09:00,1704096780.0,37.433,137.083,8.0,3.8,2,matched,1,2024-01-01T17:13:08.800+09:00,1704096788.8,8.799999952316284,20240101171308800,2024-01-01T17:13:08.800+09:00,1704096788.8,37.431666666666665,137.09166666666667,9.0,3.8,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,8.799999952316284,8.799999952316284,0.7794683713480738,1.0,0.0,0.549227006013491,5.188292572459321,4.63906556644583,20240101171213100,2024-01-01T17:12:13.100+09:00,-46.90000009536743,11.124796179735373,4.0,0.2999999999999998
20240101171400,2024-01-01T17:14:00+09:00,1704096840.0,37.358,136.87,8.0,3.9,2,matched,1,2024-01-01T17:14:25.400+09:00,1704096865.4,25.40000009536743,20240101171425400,2024-01-01T17:14:25.400+09:00,1704096865.4,37.355,136.86666666666667,7.0,3.9,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,25.40000009536743,25.40000009536743,0.4450617890122346,1.0,0.0,1.0356790276480279,5.604988328685543,4.569309301037515,20240101171518600,2024-01-01T17:15:18.600+09:00,78.59999990463257,9.424941659322293,1.0,0.2999999999999998
20240101171500,2024-01-01T17:15:00+09:00,1704096900.0,37.313,136.85,10.0,4.3,4,matched,1,2024-01-01T17:15:47.100+09:00,1704096947.1,47.09999990463257,20240101171547100,2024-01-01T17:15:47.100+09:00,1704096947.1,37.288333333333334,136.83333333333334,11.0,4.2,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,47.09999990463257,47.09999990463257,3.1138808620757805,1.0,0.09999999999999964,2.626109502569574,3.766094582824176,1.1399850802546019,20240101171425400,2024-01-01T17:14:25.400+09:00,-34.59999990463257,4.897139596682121,3.0,0.3999999999999999
20240101171700,2024-01-01T17:17:00+09:00,1704097020.0,37.467,137.158,12.0,4.7,1,matched,1,2024-01-01T17:17:47.900+09:00,1704097067.9,47.90000009536743,20240101171747900,2024-01-01T17:17:47.900+09:00,1704097067.9,37.46666666666667,137.15833333333333,12.0,4.7,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,47.90000009536743,47.90000009536743,0.04732093686103673,0.0,0.0,1.6061308572177886,,inf,,,,,,
20240101171800,2024-01-01T17:18:00+09:00,1704097080.0,37.187,136.843,10.0,4.1,2,matched,1,2024-01-01T17:18:40.100+09:00,1704097120.1,40.09999990463257,20240101171840100,2024-01-01T17:18:40.100+09:00,1704097120.1,37.18,136.83666666666667,10.0,4.3,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,40.09999990463257,40.09999990463257,0.9595034421801645,0.0,0.20000000000000018,2.1952340185904524,6.07457669890846,3.879342680318008,20240101171726700,2024-01-01T17:17:26.700+09:00,-33.299999952316284,11.489550169156255,0.0,0.7999999999999998
20240101172000,2024-01-01T17:20:00+09:00,1704097200.0,37.377,136.932,2.0,3.9,4,matched,1,2024-01-01T17:20:31.900+09:00,1704097231.9,31.90000009536743,20240101172031900,2024-01-01T17:20:31.900+09:00,1704097231.9,37.376666666666665,136.93166666666667,2.0,3.9,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,31.90000009536743,31.90000009536743,0.0473429401376727,0.0,0.0,1.0728019245397822,5.629931328774704,4.557129404234923,20240101171939400,2024-01-01T17:19:39.400+09:00,-20.59999990463257,14.549656659768095,7.0,0.3999999999999999
20240101172100,2024-01-01T17:21:00+09:00,1704097260.0,37.168,136.702,3.0,3.5,4,ambiguous,0,2024-01-01T17:21:29.700+09:00,1704097289.7,29.700000047683716,20240101172129700,2024-01-01T17:21:29.700+09:00,1704097289.7,37.208333333333336,136.70666666666668,8.0,3.7,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,29.700000047683716,29.700000047683716,4.503873925313762,5.0,0.20000000000000018,3.057441453318877,3.2794768489387853,0.22203539561990837,20240101172107600,2024-01-01T17:21:07.600+09:00,7.599999904632568,1.9640509272551623,3.0,0.7000000000000002
20240101172200,2024-01-01T17:22:00+09:00,1704097320.0,37.465,137.205,12.0,4.9,1,matched,1,2024-01-01T17:22:11.400+09:00,1704097331.4,11.400000095367432,20240101172211400,2024-01-01T17:22:11.400+09:00,1704097331.4,37.465,137.205,12.0,4.9,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,11.400000095367432,11.400000095367432,0.0,0.0,0.0,0.3800000031789144,,inf,,,,,,
20240101172300,2024-01-01T17:23:00+09:00,1704097380.0,37.163,136.713,2.0,3.6,2,matched,1,2024-01-01T17:23:58.100+09:00,1704097438.1,58.09999990463257,20240101172358100,2024-01-01T17:23:58.100+09:00,1704097438.1,37.16833333333334,136.71833333333333,5.0,3.0,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,58.09999990463257,58.09999990463257,0.7583112321222221,3.0,0.6000000000000001,4.388328909912197,6.259650774796782,1.8713218648845853,20240101172301500,2024-01-01T17:23:01.500+09:00,1.5,14.881587207317251,9.0,0.6999999999999997
20240101172400,2024-01-01T17:24:00+09:00,1704097440.0,37.497,137.3,9.0,4.1,2,matched,1,2024-01-01T17:24:59.700+09:00,1704097499.7,59.700000047683716,20240101172459700,2024-01-01T17:24:59.700+09:00,1704097499.7,37.49666666666667,137.29333333333332,10.0,4.0,石川県能登地方,https://www.data.jma.go.jp/eqev/data/daily_map/20240101.html,20240101,59.700000047683716,59.700000047683716,0.5893041611350205,1.0,0.09999999999999964,2.5411941671497935,5.793565775235064,3.2523716080852703,20240101172333300,2024-01-01T17:23:33.300+09:00,-26.700000047683716,14.684495534894708,3.0,0.49999999999999956
