year,event_id,knet_station,hinet_station,series,seconds_relative_to_theoretical_p,value
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.39176344871521,-1.8144659048204872e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.3517634868621826,-8.714720830987632e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.3117635250091553,-5.2095838141811314e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.271763563156128,-3.212160976032677e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.2317636013031006,-2.3190660560280546e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.191763401031494,-1.7415478243564884e-06
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.151763439178467,-5.074300812777567e-06
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.1117634773254395,-2.9623933569081305e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.071763515472412,-1.1670351253975714e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-3.0317635536193848,5.834324016222961e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.9917635917663574,-4.8925743658534136e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.951763391494751,-1.8977096954046426e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.9117634296417236,5.488622528913958e-06
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.8717634677886963,-2.5132706510245635e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.831763505935669,-6.434061682448721e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.7917635440826416,6.174317463574249e-06
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.7517635822296143,-2.1941474623990092e-05
2004,20040401054100,IWTH04,N.SMTH,acceleration_vertical_mps2,-2.711763381958008,-1.611779455599244e-05
