year,event_id,path,size_bytes,catalog_event,outer_tar_valid,outer_member_count,has_knet_product,has_kiknet_product,has_image_product,product_class,error
2000,20000819085000,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000819085000.tar,471040,1,1,2,1,0,1,knet_only,
2000,20000819095500,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000819095500.tar,471040,1,1,2,1,0,1,knet_only,
2000,20000819124400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000819124400.tar,460800,1,1,2,1,0,1,knet_only,
2000,20000819163800,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000819163800.tar,8110080,1,1,3,1,1,1,both,
2000,20000819214100,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000819214100.tar,24606720,1,1,3,1,1,1,both,
2000,20000819225800,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000819225800.tar,471040,1,1,2,1,0,1,knet_only,
2000,20000820022600,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000820022600.tar,32655360,1,1,3,1,1,1,both,
2000,20000820054600,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000820054600.tar,481280,1,1,2,1,0,1,knet_only,
2000,20000820162400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000820162400.tar,3768320,1,1,3,1,1,1,both,
2000,20000820165100,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000820165100.tar,481280,1,1,2,1,0,1,knet_only,
2000,20000820224500,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000820224500.tar,1167360,1,1,2,1,0,1,knet_only,
2000,20000821004800,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000821004800.tar,471040,1,1,2,1,0,1,knet_only,
2000,20000821080700,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000821080700.tar,634880,1,1,2,1,0,1,knet_only,
2000,20000821151800,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000821151800.tar,6113280,1,1,3,1,1,1,both,
2000,20000821212700,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000821212700.tar,5754880,1,1,3,1,1,1,both,
2000,20000822210000,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000822210000.tar,829440,1,1,2,1,0,1,knet_only,
2000,20000823021700,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000823021700.tar,471040,1,1,2,1,0,1,knet_only,
2000,20000823062100,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000823062100.tar,471040,1,1,2,1,0,1,knet_only,
2000,20000823074600,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000823074600.tar,4915200,1,1,3,1,1,1,both,
2000,20000823233900,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000823233900.tar,440320,1,1,2,1,0,1,knet_only,
2000,20000823235700,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000823235700.tar,1822720,1,1,2,1,0,1,knet_only,
2000,20000825221200,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000825221200.tar,7536640,1,1,3,1,1,1,both,
2000,20000825221700,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000825221700.tar,12410880,1,1,3,1,1,1,both,
2000,20000827003000,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000827003000.tar,21125120,1,1,3,1,1,1,both,
2000,20000827065400,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000827065400.tar,4474880,1,1,3,1,1,1,both,
2000,20000827084200,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000827084200.tar,12769280,1,1,3,1,1,1,both,
2000,20000827094500,/run/media/zhangb/My Passport/knet_data/waveforms/2000/20000827094500.tar,460800,1,1,2,1,0,1,knet_only,
