scope,dimension,value,samples,targets,baseline_mae,candidate_mae,mae_delta,mae_ci95_low,mae_ci95_high,baseline_rmse,candidate_rmse,rmse_delta,rmse_ci95_low,rmse_ci95_high,target_improved_fraction,sample_improved_fraction
stratum_all_targets,selected_station_count,10,101,487,0.2669333171948515,0.22864396507551538,-0.03828935211933615,-0.05748418027363198,-0.021943015320669734,0.3602668565813487,0.299247870558642,-0.06101898602270672,-0.08609417243096441,-0.04002883389679873,0.5770020533880903,0.594059405940594
stratum_all_targets,selected_station_count,11,101,537,0.29647668726825516,0.23882834507530518,-0.05764834219294998,-0.08774782790302688,-0.03017867260002372,0.4306817357859297,0.3349179912243167,-0.09576374456161302,-0.12955280049056173,-0.05807868600075336,0.5996275605214153,0.594059405940594
stratum_all_targets,selected_station_count,12,499,4861,0.26303476350089505,0.22878052046946584,-0.03425424303142921,-0.04307663630652067,-0.02572523455949872,0.36554511109983917,0.2975440297342292,-0.06800108136560995,-0.07992199014228223,-0.056655372243525605,0.5476239456901872,0.6372745490981964
stratum_all_targets,selected_station_count,13,34,129,0.24763123702633288,0.20663794389990872,-0.04099329312642416,-0.07746081143453151,-0.009264440068664496,0.32128009702582294,0.257329325328075,-0.06395077169774793,-0.10666058169604174,-0.026502913050431537,0.6434108527131783,0.5588235294117647
stratum_all_targets,selected_station_count,14,24,141,0.2610162643861052,0.22822913668838377,-0.032787127697721435,-0.06542435645481998,-0.003971771534148434,0.3370924654230218,0.2895781920157117,-0.04751427340731007,-0.07172208557750762,-0.02330039320152478,0.5957446808510638,0.6666666666666666
stratum_all_targets,selected_station_count,15,40,257,0.29706126790682164,0.22078170818693443,-0.0762795597198872,-0.12495946634431984,-0.03653343866510678,0.39400973521037086,0.28647780556773816,-0.1075319296426327,-0.1552145305199821,-0.06214168090947107,0.6186770428015564,0.775
stratum_all_targets,selected_station_count,16,335,3668,0.27419114937484224,0.22489497076460446,-0.04929617861023777,-0.059528792533846485,-0.039232624085758366,0.38209515371628294,0.29696729332040306,-0.08512786039587988,-0.09862084477149456,-0.07036739286364689,0.5798800436205016,0.7074626865671642
stratum_all_targets,requested_elapsed_time_seconds,1.0,1821,16348,0.25564041197175225,0.26387932131079367,0.008238909339041423,0.004046827107212124,0.012482828378905011,0.3324620013647157,0.33522557799920055,0.0027635766344848434,-0.0030910997478589956,0.009230288390516695,0.4558967457793002,0.4211971444261395
stratum_all_targets,requested_elapsed_time_seconds,3.0,1310,11052,0.2446460017640749,0.24114300392501667,-0.0035029978390582195,-0.007224511777229122,-0.00013689621860631015,0.32826202889813355,0.3111413910280643,-0.017120637870069233,-0.022917914499687025,-0.011576888412371034,0.49466159971045964,0.4870229007633588
stratum_all_targets,requested_elapsed_time_seconds,5.0,1310,10071,0.25414838093143105,0.24116124107183465,-0.012987139859596403,-0.017677293134417203,-0.008516997262592172,0.3460567687409662,0.3154088343276661,-0.030647934413300104,-0.037610279244203335,-0.024491612758701133,0.5285473140701022,0.567175572519084
stratum_all_targets,requested_elapsed_time_seconds,10.0,1310,9491,0.29601966805505303,0.25788396008554904,-0.038135707969503996,-0.0448034623936941,-0.031598259037948544,0.4018072795622012,0.33595357241949114,-0.06585370714271005,-0.07338469705797498,-0.058042199330912876,0.5691707933832051,0.6183206106870229
stratum_all_targets,requested_elapsed_time_seconds,20.0,1310,9603,0.3215572654051722,0.26864539356947886,-0.05291187183569335,-0.060404394409681914,-0.045443414069589745,0.4293697199723497,0.3423490974450584,-0.08702062252729126,-0.09510489895370268,-0.07858977305508813,0.5719046131417266,0.6396946564885496
stratum_all_targets,requested_elapsed_time_seconds,40.0,1310,9647,0.3186724395089033,0.26411126138821583,-0.05456117812068745,-0.061985833808893116,-0.04736763562078937,0.4299034715434914,0.34031451093807435,-0.08958896060541705,-0.09865007848993987,-0.08104639080277938,0.5804913444594174,0.665648854961832
stratum_all_targets,requested_elapsed_time_seconds,90.0,1310,9442,0.31814614806776403,0.2623774923990685,-0.055768655668695544,-0.06364043336491117,-0.048745183406517255,0.4308476326553637,0.3386269926368912,-0.09222064001847247,-0.10158640299520513,-0.08260321722776863,0.5802796017792841,0.6641221374045801
