protocol,stratum,value,events,realtime_rows,targets,base_mae,final_mae,delta_mae,base_rmse,final_rmse,delta_rmse,fields_ge5,one_station_fields_ge5
normal,actual_station_count,15,129,181,2715,0.07945628410435074,0.07687555929683629,-0.0025807248075144507,0.12923991702056745,0.12517848613569443,-0.004061430884873013,181,0
normal,actual_station_count,16,101,159,2385,0.08231385325860677,0.08061614888144239,-0.0016977043771643774,0.1292570455028828,0.12622844577243983,-0.003028599730442977,159,0
normal,actual_station_count,17,107,164,2460,0.07935635735606396,0.07743074489091106,-0.0019256124651528955,0.132206015917069,0.12757583632656844,-0.004630179590500549,164,0
normal,actual_station_count,18,101,153,2295,0.08349520663817288,0.08165175796341616,-0.0018434486747567203,0.1323177573404976,0.12938701004279612,-0.002930747297701486,153,0
normal,actual_station_count,19,89,118,1770,0.09093129122787613,0.08777986754594887,-0.003151423681927265,0.14231285883040962,0.13711572592344276,-0.005197132906966856,118,0
normal,actual_station_count,20,87,137,2055,0.07467933968842537,0.07268593775611507,-0.001993401932310304,0.1252358029747205,0.12153209748611836,-0.0037037054886021464,137,0
normal,actual_station_count,21,67,103,1545,0.07894586118534931,0.07735867922504742,-0.0015871819603018866,0.12781637471719554,0.1251341594401301,-0.0026822152770654417,103,0
normal,actual_station_count,22,64,95,1425,0.07731418791178025,0.07488102743108022,-0.002433160480700039,0.12115215410698756,0.11586755069513588,-0.005284603411851677,95,0
normal,actual_station_count,23,55,82,1230,0.06759261871665352,0.0667834788068705,-0.0008091399097830271,0.11139538905787817,0.10963915680386213,-0.0017562322540160408,82,0
normal,actual_station_count,24,51,64,960,0.08593755313583339,0.08349889006543283,-0.002438663070400554,0.15020039890135845,0.1461201685360702,-0.004080230365288234,64,0
normal,actual_station_count,25,267,946,14190,0.11122616791599374,0.10828031561158727,-0.002945852304406471,0.1727582337145169,0.16655687459008434,-0.006201359124432565,946,0
normal,requested_elapsed_time_seconds,1,1383,1383,12875,0.23468970446695248,0.2200271905309236,-0.014662513936028881,0.29627675558501615,0.28024396908210186,-0.016032786502914287,994,222
normal,requested_elapsed_time_seconds,3,1383,1383,12781,0.19197892367185926,0.1824459848199522,-0.009532938851907063,0.2449080522725223,0.23281217512223334,-0.012095877150288953,1003,10
normal,requested_elapsed_time_seconds,5,1383,1383,12861,0.17183653799705068,0.16452432931938424,-0.0073122086776664375,0.22075690523323152,0.2110989268091562,-0.009657978424075314,1005,0
normal,requested_elapsed_time_seconds,10,1383,1383,12699,0.134633574997235,0.12876673827699625,-0.005866836720238744,0.1841663024026876,0.1758412407711522,-0.008325061631535402,1000,1
normal,requested_elapsed_time_seconds,20,1383,1383,12874,0.0730359355100688,0.07029610186331814,-0.002739833646750664,0.12690985303244798,0.12020260514633899,-0.006707247886108991,1002,0
normal,requested_elapsed_time_seconds,40,1383,1383,12831,0.0564137021749567,0.05540758482524973,-0.0010061173497069656,0.10520140044123275,0.10160796411095467,-0.003593436330278074,995,1
normal,requested_elapsed_time_seconds,90,1383,1383,12849,0.05464627586671955,0.05370421017076376,-0.0009420656959557919,0.1001832522311946,0.09631576253546806,-0.0038674896957265475,994,0
