protocol,population,row_index,event_id,requested_elapsed_time_seconds,actual_station_count,n_targets,eligible_ge5,truth_p95_p05_range,base_p95_p05_range,final_p95_p05_range,base_range_ratio,final_range_ratio,base_range_abs_error,final_range_abs_error,base_pairwise_delta_mae,final_pairwise_delta_mae,base_pairwise_delta_rmse,final_pairwise_delta_rmse,base_field_mean_error,final_field_mean_error,base_centered_error_mae,final_centered_error_mae,base_centered_error_rmse,final_centered_error_rmse,truth_ptp_range_diagnostic,base_ptp_range_diagnostic,final_ptp_range_diagnostic
normal,noninput,2333,20080820151300,5.0,25,10,True,1.0735173463821406,0.956550356745719,0.9379226446151727,0.8910432234461679,0.8736911869901912,0.1169669896364216,0.13559470176696786,0.20169141425026788,0.18850056065453424,0.2552613149690045,0.2590739267545374,0.21402334570884704,0.2176303267478943,0.1269028949737549,0.11758966445922851,0.17123449568900362,0.1737920734262841,1.397173821926117,1.310814082622528,1.270851194858551
normal,noninput,2334,20080820151300,10.0,25,10,True,0.8472067311406127,0.4943870246410368,0.5673137158155439,0.5835494531251337,0.6696284330174729,0.35281970649957595,0.27989301532506883,0.3033312631977929,0.29788945847087434,0.36735951969043396,0.3580869845757292,0.22605272829532624,0.24798068702220916,0.201142338514328,0.1988661915063858,0.24643225746284483,0.24021205181077476,1.2242741286754608,0.6448524594306946,0.7882457971572876
normal,noninput,2335,20080820151300,20.0,25,6,True,0.8784297406673431,0.6450289636850357,0.6503600180149078,0.734297729030676,0.7403665744750733,0.23340077698230743,0.2280697226524353,0.20235124826431275,0.13576722145080566,0.23432874230654388,0.16301604258960545,0.22776958346366882,0.18876628081003824,0.12759163975715637,0.09211129612392849,0.15125855274849562,0.10522640301903015,1.0759470462799072,0.8418799042701721,0.8177920579910278
normal,noninput,2336,20080820151300,40.0,25,9,True,1.119201385974884,0.8779968500137327,0.8698293685913082,0.7844851346828442,0.7771875370165313,0.2412045359611512,0.24937201738357573,0.25073284573025173,0.26243966817855835,0.302220052310834,0.32133758165541415,0.1409271756807963,0.136694782310062,0.17276700337727863,0.1801908192811189,0.20148003487388935,0.21422505443694279,1.397173821926117,1.2747939825057983,1.2887146472930908
normal,noninput,2337,20080820151300,90.0,25,8,True,1.1526300981640814,0.9786608397960661,0.9270758211612699,0.8490675728101194,0.8043133895583013,0.17396925836801524,0.2255542770028115,0.20867848928485597,0.23883506123508727,0.2639155302861342,0.30029577362175724,0.12160340324044228,0.13885265216231346,0.1433223830536008,0.15631705708801746,0.17456371506621154,0.19862698419172994,1.3572820723056793,1.176034390926361,1.102433681488037
normal,noninput,2338,20080821174700,1.0,1,8,True,0.42905994653701773,0.1354503333568573,0.06972107887268053,0.31569092955445827,0.1624972907291994,0.29360961318016043,0.3593388676643372,0.2585646893296923,0.205751257283347,0.30195658636314987,0.24079246933709003,0.3117673248052597,0.18995168805122375,0.1769811362028122,0.14239150285720825,0.199725508563723,0.15926924786077154,0.5228779315948486,0.1453627347946167,0.08107864856719971
normal,noninput,2339,20080821174700,3.0,5,3,False,0.20366442203521729,0.1795453548431396,0.13475525379180908,0.8815744696542676,0.6616533827813453,0.02411906719207768,0.0689091682434082,0.2838590939839681,0.25068124135335285,0.3023235392991869,0.2668470927631078,0.1623274882634481,0.14660183588663736,0.1493907504611545,0.1314939128028022,0.17454657679674598,0.1540642408392493,0.22629380226135254,0.1994948387145996,0.14972805976867676
normal,noninput,2352,20080822150200,1.0,2,13,True,0.5367845773696898,0.260103988647461,0.20500884056091317,0.48455935511784337,0.3819201392958822,0.2766805887222288,0.3317757368087766,0.22676891546982986,0.22537393142015505,0.28128011909731565,0.27622097348343483,0.1269023876923781,0.09555424176729642,0.15848274061665732,0.16180112658167733,0.19109221140920837,0.18765519877461395,0.5893959999084473,0.3163868188858032,0.24668514728546143
normal,noninput,2353,20080822150200,3.0,4,11,True,0.5193414092063904,0.39036959409713745,0.3358364701271057,0.751662754359727,0.6466583718796851,0.12897181510925293,0.18350493907928467,0.15901267311789774,0.14684187282215466,0.1924573363017099,0.17721549565172215,0.2949673750183799,0.2216302048076283,0.10780919090775419,0.1032809482133093,0.12975470966465474,0.11947866279474635,0.6589664220809937,0.44085007905960083,0.3664379119873047
normal,noninput,2354,20080822150200,5.0,9,9,True,0.5711338758468627,0.5386206150054932,0.48225605487823486,0.9430724349993078,0.8443835592192075,0.03251326084136952,0.08887782096862784,0.2694508499569363,0.25248248709572685,0.3889469451303696,0.3606152379202055,0.2883487277560764,0.2557009723451402,0.1643239745387325,0.15376659675880716,0.25929796342024636,0.24041015861347034,0.675869345664978,0.575661301612854,0.508539080619812
